Raw material name,Product material name,PI,Tier 1,PI-item-tier,PI-all-items,Minerals,Advanced Moon Materials,Salvage,Skills,,,,,,Wetware Mainframe PI material ratios,Organic Mortar Applicators,Ukomi Superconductors
Aqueous Liquids,R.A.M.- Shield Tech,Proteins,Bacteria,Raw Materials,Noble Metals,,Plasmonic Metamaterials,Current Pump,Gallente Encryption Methods,,,,Raw Materials,Noble Metals,,,
Autotrophs,Linear Shield Emitter,Reactive Metals,Biofuels,Raw Materials,Non-CS Crystals,,Pressurized Oxidizers,Damaged Artificial Neural Network,Gallente Starship Engineering,,,,Raw Materials,Non-CS Crystals,,,
Base Metals,EM Shield Amplifier I,Silicon,Biomass,Raw Materials,Planktic Colonies,,Reinforced Carbon Fiber,Defective Current Pump,Graviton Physics,Curie,x6,2,Raw Materials,Planktic Colonies,For 9 WwMf,For 10 OMAs,For 30 UkSc
Carbon Compounds,Thermal Shield Amplifier I,Toxic Metals,Chiral Structures,Raw Materials,Reactive Gas,,Sylramic Fibers,Drone Transceiver,High Energy Physics,Goeppert,Ruborraude,1,Raw Materials,Reactive Gas,18*160*9*.38 = 9849.6,(160*8+40)*0.38*10 = 5016,320*0.38*10 ~ 1220
Complex Organisms,Oscillator Capacitor Unit,Water,Electrolytes,Raw Materials,Suspended Plasma,,Terahertz Metamaterials,Electromagnetic Metaprismatic Sheeting,Hydromagnetic Physics,Eliana,Aetaksan,2,Raw Materials,Suspended Plasma,,,
Felsic Magma,Plasma Pulse Generator,Construction Blocks,Industrial Fibers,Processed Materials,Bacteria,,Titanium Carbide,Enhanced Ward Console,Laser Physics,Curie,Amarr,5,Processed Materials,Bacteria,3 (480*9 = 4320),40,
Heavy Metals,Fernite Carbide Composite Armor Plate,Consumer Electronics,Oxidizing Compound,Processed Materials,Biofuels,,Tungsten Carbide,Fried Interface Circuit,Mechanical Engineering,Goeppert,Kasukell,2,Processed Materials,Biofuels,1 (160*9 = 1440),,
Ionic Solutions,Damage Control I,Mechanical Parts,Oxygen,Processed Materials,Biomass,,,Hyperbolic Metatransistor Array,Minmatar Encryption Methods,,,,Processed Materials,Biomass,,,
Microorganisms,Ballistic Control System I,Miniature Electronics,Plasmoids,Processed Materials,Chiral Structures,,,Impetus Console,Minmatar Starship Engineering,Eliana,many,,Processed Materials,Chiral Structures,1 (160*9 = 1440),160,
Noble Gas,R.A.M.- Electronics,Robotics,Precious Metals,Processed Materials,Electrolytes,,,Intact Armor Plates,Molecular Engineering,Curie,"Elanoda, Kokanogi",3,Processed Materials,Electrolytes,2 (320*9 = 2880),160,80
Noble Metals,Co-Processor I,Rocket Fuel,Proteins,Processed Materials,Industrial Fibers,,,Intact Shield Emitter,Nanite Engineering,Goeppert,Sitaleere,3,Processed Materials,Industrial Fibers,,,
Non-CS Crystals,Photon Microprocessor,Superconductors,Reactive Metals,Processed Materials,Oxidizing Compound,,,Interface Circuit,Nuclear Physics,Eliana,Rervedia,3,Processed Materials,Oxidizing Compound,,160,
Planktic Colonies,,,Silicon,Processed Materials,Oxygen,,,Logic Circuit,Offensive Subsystem Technology,,,,Processed Materials,Oxygen,1 (160*9 = 1440),160,80
Reactive Gas,,,Toxic Metals,Processed Materials,Plasmoids,,,Lorentz Fluid,Plasma Physics,Goeppert,Doppepuette,4,Processed Materials,Plasmoids,,,80
Suspended Plasma,,,Water,Processed Materials,Precious Metals,,,Malfunctioning Shield Emitter,Propulsion Subsystem Technology,,,,Processed Materials,Precious Metals,,160,
GROUP – ADVANCED MOON MATERIALS,,,Construction Blocks,Processed Materials,Proteins,,,Melted Capacitor Console,Quantum Physics,Eliana,Rias,4,Processed Materials,Proteins,2 (320*9 = 2880),,
Crystalline Carbonide,,,Consumer Electronics,Processed Materials,Reactive Metals,,,Micro Circuit,Rocket Science,Curie,x4,4,Processed Materials,Reactive Metals,3 (480*9 = 4320),160,
Fermionic Condensates,,,Mechanical Parts,Processed Materials,Silicon,,,Nanite Compound,Industry,,,,Processed Materials,Silicon,,,
Fernite Carbide,,,Miniature Electronics,Processed Materials,Toxic Metals,,,Power Circuit,,,,,Processed Materials,Toxic Metals,2 (320*9 = 2880),160,
Ferrogel,,,Robotics,Processed Materials,Water,,,Power Conduit,,,,,Processed Materials,Water,3 (480*9 = 4320),160,80
Fullerides,,,Rocket Fuel,Refined Commodities,Biocells,,,Schorched Telemetry Processor,,,,,Refined Commodities,Biocells,,,
Hypersynaptic Fibers,,,Superconductors,Refined Commodities,Construction Blocks,,,Single-crystal Superalloy I-beam,,,,,Refined Commodities,Construction Blocks,,,
Nanotransistors,,,GROUP – ADVANCED MOON MATERIALS,Refined Commodities,Consumer Electronics,,,Smashed Trigger Unit,,,,,Refined Commodities,Consumer Electronics,,,
Nonlinear Metamaterials,,,Crystalline Carbonide,Refined Commodities,Coolant,,,Tangled Power Conduit,,,,,Refined Commodities,Coolant,,,
Phenolic Composites,,,Fermionic Condensates,Refined Commodities,Enriched Uranium,,,Telemetry Processor,,,,,Refined Commodities,Enriched Uranium,,,
Photonic Metamaterials,,,Fernite Carbide,Refined Commodities,Fertilizer,,,Thruster Console,,,,,Refined Commodities,Fertilizer,,,
Plasmonic Metamaterials,,,Ferrogel,Refined Commodities,Genetically Enhanced Livestock,,,Trigger Unit,,,,,Refined Commodities,Genetically Enhanced Livestock,,,
Pressurized Oxidizers,,,Fullerides,Refined Commodities,Livestock,,,Tripped Power Circuit,,,,,Refined Commodities,Livestock,,,
Reinforced Carbon Fiber,,,Hypersynaptic Fibers,Refined Commodities,Mechanical Parts,,,Ultraconducting Ablative Nanocable,,,,,Refined Commodities,Mechanical Parts,,,
Sylramic Fibers,,,Nanotransistors,Refined Commodities,Microfiber Shielding,,,Ward Console,,,,,Refined Commodities,Microfiber Shielding,,,
Terahertz Metamaterials,,,Nonlinear Metamaterials,Refined Commodities,Miniature Electronics,,,,,,,,Refined Commodities,Miniature Electronics,,,
Titanium Carbide,,,Phenolic Composites,Refined Commodities,Nanites,,,,,,,,Refined Commodities,Nanites,,,
Tungsten Carbide,,,Photonic Metamaterials,Refined Commodities,Oxides,,,,,,,,Refined Commodities,Oxides,,,
GROUP – SALVAGE MATERIALS,,,Plasmonic Metamaterials,Refined Commodities,Polyaramids,,,,,,,,Refined Commodities,Polyaramids,,,
Alloyed Tritanium Bar,,,Pressurized Oxidizers,Refined Commodities,Polytextiles,,,,,,,,Refined Commodities,Polytextiles,,,
Armor Plates,,,Reinforced Carbon Fiber,Refined Commodities,Rocket Fuel,,,,,,,,Refined Commodities,Rocket Fuel,,,
Artificial Neural Network,,,Sylramic Fibers,Refined Commodities,Silicate Glass,,,,,,,,Refined Commodities,Silicate Glass,,,
Broken Drone Transceiver,,,Terahertz Metamaterials,Refined Commodities,Superconductors,,,,,,,,Refined Commodities,Superconductors,,,
Burned Logic Circuit,,,Titanium Carbide,Refined Commodities,Supertensile Plastics,,,,,,,,Refined Commodities,Supertensile Plastics,,,
Capacitor Console,,,Tungsten Carbide,Refined Commodities,Synthetic Oil,,,,,,,,Refined Commodities,Synthetic Oil,,,
Charred Micro Circuit,,,GROUP – SALVAGE MATERIALS,Refined Commodities,Test Cultures,,,,,,,,Refined Commodities,Test Cultures,,,
Conductive Polymer,,,Alloyed Tritanium Bar,Refined Commodities,Transmitter,,,,,,,,Refined Commodities,Transmitter,,,
Conductive Thermoplastic,,,Armor Plates,Refined Commodities,Viral Agent,,,,,,,,Refined Commodities,Viral Agent,,,
Contaminated Lorentz Fluid,,,Artificial Neural Network,Refined Commodities,Water-Cooled CPU,,,,,,,,Refined Commodities,Water-Cooled CPU,,,
Current Pump,,,Broken Drone Transceiver,Specialized Commodities,Biotech Research Reports,,,,,,,,Specialized Commodities,Biotech Research Reports,,,
Damaged Artificial Neural Network,,,Burned Logic Circuit,Specialized Commodities,Camera Drones,,,,,,,,Specialized Commodities,Camera Drones,,,
Defective Current Pump,,,Capacitor Console,Specialized Commodities,Condensates,,,,,,,,Specialized Commodities,Condensates,,,
Drone Transceiver,,,Charred Micro Circuit,Specialized Commodities,Cryoprotectant Solution,,,,,,,,Specialized Commodities,Cryoprotectant Solution,,,
Electromagnetic Metaprismatic Sheeting,,,Conductive Polymer,Specialized Commodities,Data Chips,,,,,,,,Specialized Commodities,Data Chips,,,
Enhanced Ward Console,,,Conductive Thermoplastic,Specialized Commodities,Gel-Matrix Biopaste,,,,,,,,Specialized Commodities,Gel-Matrix Biopaste,,,
Fried Interface Circuit,,,Contaminated Lorentz Fluid,Specialized Commodities,Guidance Systems,,,,,,,,Specialized Commodities,Guidance Systems,,,
Hyperbolic Metatransistor Array,,,Current Pump,Specialized Commodities,Hazmat Detection Systems,,,,,,,,Specialized Commodities,Hazmat Detection Systems,,,
Impetus Console,,,Damaged Artificial Neural Network,Specialized Commodities,Hermetic Membranes,,,,,,,,Specialized Commodities,Hermetic Membranes,,,
Intact Armor Plates,,,Defective Current Pump,Specialized Commodities,High-Tech Transmitter,,,,,,,,Specialized Commodities,High-Tech Transmitter,,,
Intact Shield Emitter,,,Drone Transceiver,Specialized Commodities,Industrial Explosives,,,,,,,,Specialized Commodities,Industrial Explosives,,,
Interface Circuit,,,Electromagnetic Metaprismatic Sheeting,Specialized Commodities,Neocoms,,,,,,,,Specialized Commodities,Neocoms,,,
Logic Circuit,,,Enhanced Ward Console,Specialized Commodities,Nuclear Reactors,,,,,,,,Specialized Commodities,Nuclear Reactors,,,
Lorentz Fluid,,,Fried Interface Circuit,Specialized Commodities,Planetary Vehicles,,,,,,,,Specialized Commodities,Planetary Vehicles,,,
Malfunctioning Shield Emitter,,,Hyperbolic Metatransistor Array,Specialized Commodities,Robotics,,,,,,,,Specialized Commodities,Robotics,,,
Melted Capacitor Console,,,Impetus Console,Specialized Commodities,Smartfab Units,,,,,,,,Specialized Commodities,Smartfab Units,,,
Micro Circuit,,,Intact Armor Plates,Specialized Commodities,Supercomputers,,,,,,,,Specialized Commodities,Supercomputers,,,
Nanite Compound,,,Intact Shield Emitter,Specialized Commodities,Synthetic Synapses,,,,,,,,Specialized Commodities,Synthetic Synapses,,,
Power Circuit,,,Interface Circuit,Specialized Commodities,Transcranial Microcontroller,,,,,,,,Specialized Commodities,Transcranial Microcontroller,,,
Power Conduit,,,Logic Circuit,Specialized Commodities,Ukomi Superconductors,,,,,,,,Specialized Commodities,Ukomi Superconductors,,,
Schorched Telemetry Processor,,,Lorentz Fluid,Specialized Commodities,Vaccines,,,,,,,,Specialized Commodities,Vaccines,,,
Single-crystal Superalloy I-beam,,,Malfunctioning Shield Emitter,Advanced Commodities,Broadcast Node,,,,,,,,Advanced Commodities,Broadcast Node,,,
Smashed Trigger Unit,,,Melted Capacitor Console,Advanced Commodities,Integrity Response Drones,,,,,,,,Advanced Commodities,Integrity Response Drones,,,
Tangled Power Conduit,,,Micro Circuit,Advanced Commodities,Nano-Factory,,,,,,,,Advanced Commodities,Nano-Factory,,,
Telemetry Processor,,,Nanite Compound,Advanced Commodities,Organic Mortar Applicators,,,,,,,,Advanced Commodities,Organic Mortar Applicators,,,
Thruster Console,,,Power Circuit,Advanced Commodities,Recursive Computing Module,,,,,,,,Advanced Commodities,Recursive Computing Module,,,
Trigger Unit,,,Power Conduit,Advanced Commodities,Self Harmonizing Power Core,,,,,,,,Advanced Commodities,Self Harmonizing Power Core,,,
Tripped Power Circuit,,,Schorched Telemetry Processor,Advanced Commodities,Sterile Conduits,,,,,,,,Advanced Commodities,Sterile Conduits,,,
Ultraconducting Ablative Nanocable,,,Single-crystal Superalloy I-beam,Advanced Commodities,Wetware Mainframe,,,,,,,,Advanced Commodities,Wetware Mainframe,,,
Ward Console,,,Smashed Trigger Unit,,,,,,,,,,,,,,
,,,Tangled Power Conduit,,,,,,,,,,,,,,
,,,Telemetry Processor,,,,,,,,,,,,,,
,,,Thruster Console,,,,,,,,,,,,,,
,,,Trigger Unit,,,,,,,,,,,,,,
,,,Tripped Power Circuit,,,,,,,,,,,,,,
,,,Ultraconducting Ablative Nanocable,,,,,,,,,,,,,,
,,,Ward Console,,,,,,,,,,,,,,
